Totales Territoriales;Provincias;Municipios;Grupos CNAE;Periodo;Total
Total Nacional;;;MN Actividades profesionales y técnicas;2018;604.252
Total Nacional;;;MN Actividades profesionales y técnicas;2017;594.590
Total Nacional;;;MN Actividades profesionales y técnicas;2016;583.208
Total Nacional;;;MN Actividades profesionales y técnicas;2015;564.382
Total Nacional;;;MN Actividades profesionales y técnicas;2014;540.592
Total Nacional;;;MN Actividades profesionales y técnicas;2013;545.047
Total Nacional;;;MN Actividades profesionales y técnicas;2012;540.064
Total Nacional;;;Educación, sanidad y servicios sociales;2025;294.392
Total Nacional;;;Educación, sanidad y servicios sociales;2024;284.876
Total Nacional;;;Educación, sanidad y servicios sociales;2023;277.554
Total Nacional;;;Educación, sanidad y servicios sociales;2022;289.734
Total Nacional;;;Educación, sanidad y servicios sociales;2021;278.805
Total Nacional;;;Educación, sanidad y servicios sociales;2020;284.502
Total Nacional;;;Educación, sanidad y servicios sociales;2019;272.124
Total Nacional;;;Educación, sanidad y servicios sociales;2018;270.235
Total Nacional;;;Educación, sanidad y servicios sociales;2017;262.399
Total Nacional;;;Educación, sanidad y servicios sociales;2016;252.362
Total Nacional;;;Educación, sanidad y servicios sociales;2015;241.381
Total Nacional;;;Educación, sanidad y servicios sociales;2014;227.053
Total Nacional;;;Educación, sanidad y servicios sociales;2013;223.880
Total Nacional;;;Educación, sanidad y servicios sociales;2012;221.559
Total Nacional;;;Otros servicios personales;2025;355.564
Total Nacional;;;Otros servicios personales;2024;342.757
Total Nacional;;;Otros servicios personales;2023;329.579
Total Nacional;;;Otros servicios personales;2022;332.422
Total Nacional;;;Otros servicios personales;2021;320.773
Total Nacional;;;Otros servicios personales;2020;322.758
Total Nacional;;;Otros servicios personales;2019;306.914
Total Nacional;;;Otros servicios personales;2018;292.484
Total Nacional;;;Otros servicios personales;2017;286.644
Total Nacional;;;Otros servicios personales;2016;275.813
Total Nacional;;;Otros servicios personales;2015;263.363
Total Nacional;;;Otros servicios personales;2014;247.737
Total Nacional;;;Otros servicios personales;2013;234.921
Total Nacional;;;Otros servicios personales;2012;235.450
Total Nacional;;;Total servicios;2025;1.644.479
Total Nacional;;;Total servicios;2024;1.591.034
Total Nacional;;;Total servicios;2023;1.547.129
Total Nacional;;;Total servicios;2022;1.610.631
Total Nacional;;;Total servicios;2021;1.559.106
Total Nacional;;;Total servicios;2020;1.574.572
Total Nacional;;;Total servicios;2019;1.526.091
Total Nacional;;;Total servicios;2018;1.489.762
Total Nacional;;;Total servicios;2017;1.453.039
Total Nacional;;;Total servicios;2016;1.407.294
Total Nacional;;;Total servicios;2015;1.348.482
Total Nacional;;;Total servicios;2014;1.278.401
Total Nacional;;;Total servicios;2013;1.260.378
Total Nacional;;;Total servicios;2012;1.250.410
Total Nacional;33 Asturias;33002 Aller;Total;2025;446
Total Nacional;33 Asturias;33002 Aller;Total;2024;424
Total Nacional;33 Asturias;33002 Aller;Total;2023;428
Total Nacional;33 Asturias;33002 Aller;Total;2022;463
Total Nacional;33 Asturias;33002 Aller;Total;2021;464
Total Nacional;33 Asturias;33002 Aller;Total;2020;463
Total Nacional;33 Asturias;33002 Aller;Total;2019;463
Total Nacional;33 Asturias;33002 Aller;Total;2018;481
Total Nacional;33 Asturias;33002 Aller;Total;2017;479
Total Nacional;33 Asturias;33002 Aller;Total;2016;501
Total Nacional;33 Asturias;33002 Aller;Total;2015;507
Total Nacional;33 Asturias;33002 Aller;Total;2014;512
Total Nacional;33 Asturias;33002 Aller;Total;2013;504
Total Nacional;33 Asturias;33002 Aller;Total;2012;515
