"Evolución de la superficie municipal"

"Ámbito territorial";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"2026"
"33035 Llanera";106.690;106.690;106.690;106.690;106.690;106.690;106.690;106.690;106.690;106.690;106.690;106.690;106.693;106.693;106.693;106.693;106.693;106.693;105.018
"33036 Llanes";263.590;263.590;263.590;263.590;263.590;263.590;263.590;263.590;263.590;263.590;262.930;262.930;262.934;262.934;262.934;262.934;262.934;262.934;262.934
"33037 Mieres";146.030;146.030;146.030;146.030;146.030;146.030;146.030;146.030;146.030;146.040;146.040;146.040;146.037;146.037;146.037;146.037;146.037;146.037;146.055
"33038 Morcín";50.050;50.050;50.050;50.050;50.050;50.050;50.050;50.050;50.050;50.050;50.050;50.050;50.056;50.056;50.056;50.056;50.056;50.056;50.056
"33039 Muros de Nalón";8.090;8.090;8.090;8.090;8.090;8.090;8.090;8.090;8.090;8.090;8.090;8.090;8.271;8.271;8.271;8.271;8.271;8.271;8.271
"33040 Nava";95.810;95.810;95.810;95.810;95.810;95.810;95.810;95.810;95.810;95.810;95.810;95.810;95.810;95.810;95.810;95.810;95.810;95.810;95.810
"33041 Navia";63.120;63.110;63.110;63.110;63.110;63.110;63.110;63.110;63.110;63.120;63.110;63.110;63.197;63.197;63.197;63.197;63.197;63.197;63.197
"33042 Noreña";5.290;5.660;5.660;5.660;5.660;5.660;5.660;5.660;5.660;5.660;5.660;5.660;5.661;5.661;5.661;5.661;5.661;5.661;5.661
"33043 Onís";75.420;75.420;75.420;75.420;75.420;75.420;75.420;75.420;75.420;75.420;74.880;74.880;74.875;74.875;74.875;74.875;74.876;74.876;74.876
"33044 Oviedo";186.650;186.650;186.650;186.650;186.650;186.650;186.650;186.650;186.650;186.650;186.650;186.650;186.656;186.656;186.656;186.656;186.656;186.656;186.100
"33045 Parres";126.080;126.080;126.080;126.080;126.080;126.080;126.080;126.080;126.080;126.080;126.240;126.240;126.244;126.244;126.244;126.244;126.244;126.244;126.244
"33046 Peñamellera Alta";92.190;92.190;92.190;92.190;92.190;92.190;92.190;92.190;92.190;92.190;92.190;92.190;92.194;92.194;92.194;92.194;92.194;92.194;92.194
"33047 Peñamellera Baja";83.850;83.850;83.850;83.850;83.850;83.850;83.850;83.850;83.850;83.850;83.850;83.870;83.868;84.057;84.057;84.057;84.057;84.057;84.057
"33048 Pesoz";38.970;38.970;38.970;38.970;38.970;38.970;38.970;38.970;38.970;38.970;38.980;38.980;38.978;38.978;38.978;38.978;38.978;38.978;38.978
"33049 Piloña";283.890;283.890;283.890;283.890;283.890;283.890;283.890;283.890;283.890;283.890;283.890;283.770;283.773;283.773;284.922;284.922;284.922;284.922;284.922
"33050 Ponga";205.980;205.980;205.980;205.980;205.980;205.980;205.980;205.980;205.980;205.980;206.360;206.360;206.358;206.358;206.358;206.358;206.358;206.358;206.358
"33051 Pravia";102.960;102.960;102.960;102.960;102.960;102.960;102.960;102.960;102.960;102.960;102.960;102.960;102.961;102.961;102.961;102.961;102.961;102.961;102.961
"33052 Proaza";76.790;76.790;76.790;76.790;76.790;76.800;76.800;76.800;76.800;76.800;76.800;76.800;76.803;76.803;76.803;76.803;76.803;76.803;76.801
"33053 Quirós";208.790;208.790;208.790;208.790;208.790;206.530;206.530;206.530;206.530;206.050;206.050;206.250;206.252;205.539;205.539;203.208;203.208;203.208;203.208
"33054 Regueras, Las";65.850;65.850;65.850;65.850;65.850;65.850;65.850;65.850;65.850;65.850;65.850;65.850;65.851;65.851;65.851;65.851;65.851;65.851;67.408
