Nacionalidad;Periodo;Total
Pakistán;1 de julio de 2025;..
Pakistán;1 de abril de 2025;..
Pakistán;1 de enero de 2025;..
Pakistán;1 de octubre de 2024;..
Pakistán;1 de julio de 2024;..
Pakistán;1 de abril de 2024;..
Pakistán;1 de enero de 2024;..
Pakistán;1 de octubre de 2023;..
Pakistán;1 de julio de 2023;..
Pakistán;1 de abril de 2023;..
Otro país de Asia;1 de abril de 2026;..
Otro país de Asia;1 de enero de 2026;..
Otro país de Asia;1 de octubre de 2025;..
Otro país de Asia;1 de julio de 2025;..
Otro país de Asia;1 de abril de 2025;..
Otro país de Asia;1 de enero de 2025;..
Otro país de Asia;1 de octubre de 2024;..
Otro país de Asia;1 de julio de 2024;..
Otro país de Asia;1 de abril de 2024;..
Otro país de Asia;1 de enero de 2024;..
Otro país de Asia;1 de octubre de 2023;..
Otro país de Asia;1 de julio de 2023;..
Otro país de Asia;1 de abril de 2023;..
De Oceanía;1 de abril de 2026;..
De Oceanía;1 de enero de 2026;..
De Oceanía;1 de octubre de 2025;..
De Oceanía;1 de julio de 2025;..
De Oceanía;1 de abril de 2025;..
De Oceanía;1 de enero de 2025;..
De Oceanía;1 de octubre de 2024;..
De Oceanía;1 de julio de 2024;..
De Oceanía;1 de abril de 2024;..
De Oceanía;1 de enero de 2024;..
De Oceanía;1 de octubre de 2023;..
De Oceanía;1 de julio de 2023;..
De Oceanía;1 de abril de 2023;..
Apátridas;1 de abril de 2026;..
Apátridas;1 de enero de 2026;..
Apátridas;1 de octubre de 2025;..
Apátridas;1 de julio de 2025;..
Apátridas;1 de abril de 2025;..
Apátridas;1 de enero de 2025;..
Apátridas;1 de octubre de 2024;..
Apátridas;1 de julio de 2024;..
Apátridas;1 de abril de 2024;..
Apátridas;1 de enero de 2024;..
Apátridas;1 de octubre de 2023;..
Apátridas;1 de julio de 2023;..
Apátridas;1 de abril de 2023;..
