Nacionalidad;Periodo;Total
Alemania;1 de julio de 2023;..
Alemania;1 de abril de 2023;..
Rumanía;1 de abril de 2026;..
Rumanía;1 de enero de 2026;..
Rumanía;1 de octubre de 2025;5.800
Rumanía;1 de julio de 2025;..
Rumanía;1 de abril de 2025;..
Rumanía;1 de enero de 2025;..
Rumanía;1 de octubre de 2024;5.700
Rumanía;1 de julio de 2024;..
Rumanía;1 de abril de 2024;6.000
Rumanía;1 de enero de 2024;5.700
Rumanía;1 de octubre de 2023;6.200
Rumanía;1 de julio de 2023;6.300
Rumanía;1 de abril de 2023;7.100
Suecia;1 de abril de 2026;..
Suecia;1 de enero de 2026;..
Suecia;1 de octubre de 2025;..
Suecia;1 de julio de 2025;..
Suecia;1 de abril de 2025;..
Suecia;1 de enero de 2025;..
Suecia;1 de octubre de 2024;..
Suecia;1 de julio de 2024;..
Suecia;1 de abril de 2024;..
Suecia;1 de enero de 2024;..
Suecia;1 de octubre de 2023;..
Suecia;1 de julio de 2023;..
Suecia;1 de abril de 2023;..
Lituania;1 de abril de 2026;..
Lituania;1 de enero de 2026;..
Lituania;1 de octubre de 2025;..
Lituania;1 de julio de 2025;..
Lituania;1 de abril de 2025;..
Lituania;1 de enero de 2025;..
Lituania;1 de octubre de 2024;..
Lituania;1 de julio de 2024;..
Lituania;1 de abril de 2024;..
Lituania;1 de enero de 2024;..
Lituania;1 de octubre de 2023;..
Lituania;1 de julio de 2023;..
Lituania;1 de abril de 2023;..
Otro país de la Unión Europea sin España;1 de abril de 2026;..
Otro país de la Unión Europea sin España;1 de enero de 2026;..
Otro país de la Unión Europea sin España;1 de octubre de 2025;..
Otro país de la Unión Europea sin España;1 de julio de 2025;..
Otro país de la Unión Europea sin España;1 de abril de 2025;..
Otro país de la Unión Europea sin España;1 de enero de 2025;..
Otro país de la Unión Europea sin España;1 de octubre de 2024;..
Otro país de la Unión Europea sin España;1 de julio de 2024;..
Otro país de la Unión Europea sin España;1 de abril de 2024;..
Otro país de la Unión Europea sin España;1 de enero de 2024;..
Otro país de la Unión Europea sin España;1 de octubre de 2023;..
Otro país de la Unión Europea sin España;1 de julio de 2023;..
Otro país de la Unión Europea sin España;1 de abril de 2023;..
Reino Unido;1 de abril de 2026;..
Reino Unido;1 de enero de 2026;..
Reino Unido;1 de octubre de 2025;..
Reino Unido;1 de julio de 2025;..
Reino Unido;1 de abril de 2025;..
Reino Unido;1 de enero de 2025;..
Reino Unido;1 de octubre de 2024;..
Reino Unido;1 de julio de 2024;..
Reino Unido;1 de abril de 2024;..
Reino Unido;1 de enero de 2024;..
Reino Unido;1 de octubre de 2023;..
Reino Unido;1 de julio de 2023;..
Reino Unido;1 de abril de 2023;..
Noruega;1 de abril de 2026;..
Noruega;1 de enero de 2026;..
Noruega;1 de octubre de 2025;..
Noruega;1 de julio de 2025;..
Noruega;1 de abril de 2025;..
Noruega;1 de enero de 2025;..
Noruega;1 de octubre de 2024;..
Noruega;1 de julio de 2024;..
Noruega;1 de abril de 2024;..
Noruega;1 de enero de 2024;..
Noruega;1 de octubre de 2023;..
Noruega;1 de julio de 2023;..
Noruega;1 de abril de 2023;..
Suiza;1 de abril de 2026;..
Suiza;1 de enero de 2026;..
Suiza;1 de octubre de 2025;..
Suiza;1 de julio de 2025;..
Suiza;1 de abril de 2025;..
Suiza;1 de enero de 2025;..
Suiza;1 de octubre de 2024;..
Suiza;1 de julio de 2024;..
Suiza;1 de abril de 2024;..
Suiza;1 de enero de 2024;..
Suiza;1 de octubre de 2023;..
Suiza;1 de julio de 2023;..
Suiza;1 de abril de 2023;..
Ucrania;1 de abril de 2026;7.000
Ucrania;1 de enero de 2026;6.800
Ucrania;1 de octubre de 2025;5.900
Ucrania;1 de julio de 2025;..
Ucrania;1 de abril de 2025;6.900
Ucrania;1 de enero de 2025;6.400
Ucrania;1 de octubre de 2024;7.000
Ucrania;1 de julio de 2024;7.300
